"t","z","v","a"
2.000000000E-2,2.109719557E-1,-2.873019297E-3,1.712394646E-2
4.000000000E-2,2.109347817E-1,-1.582919676E-3,7.058830535E-3
6.000000000E-2,2.109216712E-1,-1.081203681E-3,5.038580155E-4
8.000000000E-2,2.109075011E-1,-1.046395158E-3,-2.035520502E-3
1.000000000E-1,2.108823128E-1,-1.128542132E-3,-1.532363673E-3
1.200000000E-1,2.108498515E-1,-1.119233277E-3,4.721796828E-4
1.400000000E-1,2.108206609E-1,-9.956540850E-4,2.178494299E-3
1.600000000E-1,2.107995485E-1,-8.281384607E-4,3.073508748E-3
1.800000000E-1,2.107840930E-1,-6.601774177E-4,3.694150683E-3
2.000000000E-1,2.107697613E-1,-4.985618261E-4,4.769628139E-3
2.200000000E-1,2.107544899E-1,-3.439610169E-4,6.492492315E-3
2.400000000E-1,2.107359553E-1,-1.073449729E-4,9.427679043E-3
2.600000000E-1,2.107200613E-1,3.379941467E-4,1.310275841E-2
2.800000000E-1,2.107223064E-1,9.630956114E-4,1.536471130E-2
3.000000000E-1,2.107525537E-1,1.589376328E-3,1.458593133E-2
3.200000000E-1,2.108127772E-1,1.987588991E-3,9.621196346E-3
3.400000000E-1,2.108893614E-1,2.003720647E-3,1.642615195E-3
3.600000000E-1,2.109616095E-1,1.697290041E-3,-6.695145394E-3
3.800000000E-1,2.110172032E-1,1.235736400E-3,-1.362984174E-2
4.000000000E-1,2.110506327E-1,7.435628331E-4,-1.791280512E-2
4.200000000E-1,2.110622305E-1,2.945457955E-4,-1.895681923E-2
4.400000000E-1,2.110550404E-1,-8.223661522E-5,-1.671855364E-2
4.600000000E-1,2.110273702E-1,-3.535823642E-4,-1.047900991E-2
4.800000000E-1,2.109819285E-1,-4.684346966E-4,-7.025113235E-4
5.000000000E-1,2.109281590E-1,-3.479014212E-4,1.075530016E-2
5.200000000E-1,2.108807725E-1,5.752717137E-5,2.135829897E-2
5.400000000E-1,2.108590076E-1,7.120573436E-4,2.793584114E-2
5.600000000E-1,2.108828262E-1,1.485930255E-3,2.704553270E-2
5.800000000E-1,2.109576156E-1,2.186042497E-3,1.782424052E-2
6.000000000E-1,2.110636049E-1,2.597620998E-3,4.096169417E-3
6.200000000E-1,2.111716581E-1,2.568596164E-3,-9.223131386E-3
6.400000000E-1,2.112589087E-1,2.127947233E-3,-1.892373261E-2
6.600000000E-1,2.113122990E-1,1.458167875E-3,-2.342200425E-2
6.800000000E-1,2.113374779E-1,6.902593741E-4,-2.444156106E-2
7.000000000E-1,2.113468756E-1,-1.639115819E-4,-2.500421712E-2
7.200000000E-1,2.113433573E-1,-1.212136707E-3,-2.661245136E-2
7.400000000E-1,2.113153040E-1,-2.416636885E-3,-2.803431020E-2
7.600000000E-1,2.112403861E-1,-3.482054351E-3,-2.468330803E-2
7.800000000E-1,2.111133363E-1,-4.045385802E-3,-1.361567959E-2
8.000000000E-1,2.109615387E-1,-3.964779830E-3,2.338139082E-3
8.200000000E-1,2.108345016E-1,-3.503394681E-3,1.492363000E-2
8.400000000E-1,2.107548646E-1,-2.971954960E-3,1.979670690E-2
8.600000000E-1,2.107142698E-1,-2.560399686E-3,1.793164650E-2
8.800000000E-1,2.106839394E-1,-2.274251690E-3,1.425230615E-2
9.000000000E-1,2.106347532E-1,-1.830029135E-3,1.494312283E-2
9.200000000E-1,2.105702000E-1,-9.579965693E-4,2.128804340E-2
9.400000000E-1,2.105296875E-1,2.955150586E-4,2.773839366E-2
9.600000000E-1,2.105516489E-1,1.545667651E-3,2.744703082E-2
9.800000000E-1,2.106416665E-1,2.386009083E-3,1.780999590E-2
1.000000000E0,2.107300311E-1,2.930790774E-3,1.102214167E-2
1.020000000E0,2.106508637E-1,4.950279829E-3,4.533517590E-2
1.040000000E0,2.103553910E-1,1.092183988E-2,1.458570442E-1
1.060000000E0,2.100684281E-1,2.177115459E-2,2.862308358E-1
1.080000000E0,2.100888691E-1,3.689457495E-2,4.217564913E-1
1.100000000E0,2.105809271E-1,5.548786622E-2,5.310562237E-1
1.120000000E0,2.116319191E-1,7.625699925E-2,6.032631072E-1
1.140000000E0,2.132737333E-1,9.780079687E-2,6.322996125E-1
1.160000000E0,2.154357954E-1,1.200078762E-1,6.328581011E-1
1.180000000E0,2.181171097E-1,1.430164781E-1,6.104049912E-1
1.200000000E0,2.214373290E-1,1.654193932E-1,5.456869892E-1
1.220000000E0,2.253986406E-1,1.853431611E-1,4.365958314E-1
1.240000000E0,2.298591503E-1,2.011088623E-1,3.011150310E-1
1.260000000E0,2.346401594E-1,2.107827891E-1,1.540608494E-1
1.280000000E0,2.395129806E-1,2.135166660E-1,1.306849886E-2
1.300000000E0,2.442620739E-1,2.102278154E-1,-1.070712862E-1
1.320000000E0,2.487618186E-1,2.031989669E-1,-2.010032975E-1
1.340000000E0,2.530311475E-1,1.945059060E-1,-2.795072882E-1
1.360000000E0,2.570646426E-1,1.851666805E-1,-3.398513836E-1
1.380000000E0,2.607471691E-1,1.750069264E-1,-3.568262575E-1
1.400000000E0,2.640144410E-1,1.638265056E-1,-3.217838683E-1
1.420000000E0,2.669553983E-1,1.525930041E-1,-2.606223174E-1
1.440000000E0,2.696532079E-1,1.423300311E-1,-1.951057117E-1
1.460000000E0,2.720803420E-1,1.344264583E-1,-1.160807574E-1
1.480000000E0,2.742896219E-1,1.310196569E-1,-1.969533822E-2
1.500000000E0,2.763878562E-1,1.341612095E-1,9.974919808E-2
1.520000000E0,2.783367003E-1,1.458878258E-1,2.899422960E-1
1.540000000E0,2.802640169E-1,1.681474951E-1,5.704434529E-1
1.560000000E0,2.827524714E-1,1.998394092E-1,8.605835696E-1
1.580000000E0,2.867510860E-1,2.313419788E-1,9.667027305E-1
1.600000000E0,2.930009195E-1,2.464412699E-1,6.664244294E-1
1.620000000E0,3.010114804E-1,2.350383314E-1,-5.694052243E-2
1.640000000E0,3.096114533E-1,1.925926848E-1,-1.082455489E0
1.660000000E0,3.175837697E-1,1.156665975E-1,-2.276064964E0
1.680000000E0,3.233918425E-1,6.448449486E-3,-3.420609579E0
1.700000000E0,3.253819859E-1,-1.251478368E-1,-4.232186106E0
1.720000000E0,3.223427431E-1,-2.644771665E-1,-4.468025218E0
1.740000000E0,3.137009544E-1,-3.940494166E-1,-3.975201831E0
1.760000000E0,2.996349058E-1,-4.932334857E-1,-2.712268476E0
1.780000000E0,2.811765298E-1,-5.399459677E-1,-7.554588970E-1
1.800000000E0,2.606606897E-1,-5.164440370E-1,1.624850797E0
1.820000000E0,2.420352401E-1,-4.242016575E-1,3.838910090E0
1.840000000E0,2.292711804E-1,-2.834648473E-1,5.229509294E0
1.860000000E0,2.246963478E-1,-1.257814512E-1,5.387356093E0
1.880000000E0,2.280506774E-1,1.580923231E-2,4.350640984E0
1.900000000E0,2.371251406E-1,1.135701482E-1,2.475396623E0
1.920000000E0,2.486854723E-1,1.544460269E-1,2.816049949E-1
1.940000000E0,2.597422076E-1,1.414400785E-1,-1.752445025E0
1.960000000E0,2.681050839E-1,8.530141991E-2,-3.274114350E0
1.980000000E0,2.718776578E-1,-2.779106311E-3,-3.969715633E0
2.000000000E0,2.698050258E-1,-1.046255068E-1,-3.666277072E0
2.020000000E0,2.620869235E-1,-1.926274721E-1,-2.451212144E0
2.040000000E0,2.499725044E-1,-2.402294097E-1,-5.364811795E-1
2.060000000E0,2.362353862E-1,-2.314483282E-1,1.630223414E0
2.080000000E0,2.250692349E-1,-1.686579879E-1,3.331474873E0
2.100000000E0,2.201432492E-1,-7.321837066E-2,3.928564726E0
2.120000000E0,2.223396441E-1,2.475793344E-2,3.298770250E0
2.140000000E0,2.297914247E-1,9.656782161E-2,1.809873516E0
2.160000000E0,2.391253489E-1,1.243335299E-1,6.981974914E-2
2.180000000E0,2.475757904E-1,1.089715892E-1,-1.465084036E0
2.200000000E0,2.534050098E-1,6.133060966E-2,-2.518711083E0
2.220000000E0,2.556954897E-1,-5.790597475E-3,-2.950874117E0
2.240000000E0,2.536452250E-1,-7.536539486E-2,-2.620695619E0
2.260000000E0,2.471187491E-1,-1.222937784E-1,-1.476485606E0
2.280000000E0,2.375007298E-1,-1.295316280E-1,2.731306228E-1
2.300000000E0,2.278958481E-1,-9.598371974E-2,2.072711688E0
2.320000000E0,2.218161916E-1,-3.297223451E-2,3.249467616E0
2.340000000E0,2.215953208E-1,4.105108066E-2,3.338802155E0
2.360000000E0,2.273051400E-1,1.048997705E-1,2.316880251E0
2.380000000E0,2.367554454E-1,1.397801157E-1,6.039456152E-1
2.400000000E0,2.465785495E-1,1.340462877E-1,-1.164699639E0
2.420000000E0,2.539981791E-1,8.931391526E-2,-2.491415156E0
2.440000000E0,2.577057203E-1,1.860383581E-2,-3.166933921E0
2.460000000E0,2.572189285E-1,-5.941941932E-2,-3.124414374E0
2.480000000E0,2.521716913E-1,-1.266808616E-1,-2.288913140E0
2.500000000E0,2.431879047E-1,-1.659910006E-1,-7.622619354E-1
2.520000000E0,2.324538176E-1,-1.667470585E-1,1.059575367E0
2.540000000E0,2.230616686E-1,-1.280514835E-1,2.612170065E0
2.560000000E0,2.181393553E-1,-6.032090280E-2,3.325203903E0
2.580000000E0,2.192438533E-1,1.859290025E-2,2.939713187E0
2.600000000E0,2.254645122E-1,8.518735235E-2,1.679002809E0
2.620000000E0,2.339278861E-1,1.169315962E-1,1.050193652E-1
2.640000000E0,2.417826094E-1,1.073233599E-1,-1.285680359E0
2.660000000E0,2.472410757E-1,6.452109560E-2,-2.220682543E0
2.680000000E0,2.495067038E-1,2.284023692E-3,-2.605984497E0
2.700000000E0,2.482229784E-1,-6.541050534E-2,-2.412808250E0
2.720000000E0,2.431261418E-1,-1.201512632E-1,-1.589618349E0
2.740000000E0,2.348015222E-1,-1.437315540E-1,-2.029061516E-1
2.760000000E0,2.254637739E-1,-1.259085367E-1,1.388766414E0
2.780000000E0,2.184144944E-1,-7.151871267E-2,2.605526187E0
2.800000000E0,2.163237916E-1,1.226937661E-3,2.957031654E0
2.820000000E0,2.197427237E-1,6.759885147E-2,2.332454914E0
2.840000000E0,2.269223361E-1,1.066476863E-1,1.038725104E0
2.860000000E0,2.350828268E-1,1.096686982E-1,-4.360179138E-1
2.880000000E0,2.417830943E-1,8.060357902E-2,-1.664156561E0
2.900000000E0,2.456774556E-1,3.026349480E-2,-2.405689836E0
2.920000000E0,2.462503400E-1,-2.766826591E-2,-2.559617777E0
2.940000000E0,2.433610291E-1,-8.014416331E-2,-2.083159448E0
2.960000000E0,2.373710026E-1,-1.171170055E-1,-1.039984477E0
2.980000000E0,2.297496804E-1,-1.318820057E-1,2.707681245E-1
3.000000000E0,2.225281942E-1,-1.244923223E-1,1.434398811E0
3.020000000E0,2.176154580E-1,-9.872034065E-2,2.072159303E0
3.040000000E0,2.162263702E-1,-6.019343807E-2,1.975623696E0
3.060000000E0,2.183553700E-1,-1.846872606E-2,1.212928580E0
3.080000000E0,2.225141223E-1,1.222998134E-2,1.474755219E-1
3.100000000E0,2.265842878E-1,2.090518339E-2,-7.806172966E-1
3.120000000E0,2.290396307E-1,6.846294223E-3,-1.303650364E0
3.140000000E0,2.292982859E-1,-2.226477463E-2,-1.371359683E0
3.160000000E0,2.274446567E-1,-5.550667122E-2,-1.062519079E0
3.180000000E0,2.239475287E-1,-8.309359527E-2,-5.101107199E-1
3.200000000E0,2.195402285E-1,-9.818570602E-2,1.313794930E-1
3.220000000E0,2.152006166E-1,-9.726870366E-2,6.892029947E-1
3.240000000E0,2.120040930E-1,-8.061203778E-2,9.951139923E-1
3.260000000E0,2.107307212E-1,-5.346604157E-2,9.490288305E-1
3.280000000E0,2.113132027E-1,-2.519354639E-2,6.105777864E-1
3.300000000E0,2.128167333E-1,-5.438920565E-3,1.824040790E-1
3.320000000E0,2.141974648E-1,1.350903273E-3,-1.496787725E-1
3.340000000E0,2.148759192E-1,-2.621656814E-3,-3.121799475E-1
3.360000000E0,2.148318142E-1,-1.146172663E-2,-3.362730121E-1
3.380000000E0,2.142498680E-1,-1.985716506E-2,-2.715612935E-1
3.400000000E0,2.132666720E-1,-2.482450912E-2,-1.396855039E-1
3.420000000E0,2.120473781E-1,-2.536885252E-2,3.736762670E-2
3.440000000E0,2.108508064E-1,-2.165067032E-2,2.159108388E-1
3.460000000E0,2.100054818E-1,-1.475126333E-2,3.345126171E-1
3.480000000E0,2.097192415E-1,-6.487819167E-3,3.536413636E-1
3.500000000E0,2.099844338E-1,1.483689123E-3,2.761592329E-1
3.520000000E0,2.106093192E-1,7.750314875E-3,1.426045639E-1
3.540000000E0,2.113547202E-1,1.147592342E-2,1.840835169E-3
3.560000000E0,2.120247322E-1,1.232137955E-2,-1.081823320E-1
3.580000000E0,2.125218238E-1,1.028963699E-2,-1.734749585E-1
3.600000000E0,2.128021475E-1,5.808278244E-3,-1.956683094E-1
3.620000000E0,2.128387226E-1,6.662721816E-5,-1.804903788E-1
3.640000000E0,2.126004088E-1,-5.719581197E-3,-1.292449423E-1
3.660000000E0,2.120957522E-1,-1.022702409E-2,-4.611856176E-2
3.680000000E0,2.114850652E-1,-1.213203030E-2,4.060281260E-2
3.700000000E0,2.109796072E-1,-1.094534744E-2,9.876212020E-2
3.720000000E0,2.107140842E-1,-7.209035461E-3,1.145659766E-1
3.740000000E0,2.106796022E-1,-2.320124808E-3,1.009582459E-1
3.760000000E0,2.107734384E-1,2.068095988E-3,8.210288451E-2
3.780000000E0,2.109228454E-1,4.910450095E-3,6.714335657E-2
3.800000000E0,2.111067107E-1,6.132144455E-3,5.121334472E-2
3.820000000E0,2.113305190E-1,6.367214746E-3,2.622044696E-2
3.840000000E0,2.116058687E-1,6.107153600E-3,-1.222276112E-2
3.860000000E0,2.119062494E-1,5.010471261E-3,-5.909479416E-2
3.880000000E0,2.121635566E-1,2.667730385E-3,-1.025931421E-1
3.900000000E0,2.122807918E-1,-7.765364075E-4,-1.258455014E-1
3.920000000E0,2.121963746E-1,-4.526003903E-3,-1.181456291E-1
3.940000000E0,2.119174812E-1,-7.461419614E-3,-8.022962433E-2
3.960000000E0,2.115216255E-1,-8.728841864E-3,-2.407162931E-2
3.980000000E0,2.111041075E-1,-8.378212317E-3,3.581867408E-2
4.000000000E0,2.107859967E-1,-7.079634225E-3,7.722154565E-2
4.020000000E0,2.106372221E-1,-5.736126273E-3,8.486164542E-2
4.040000000E0,2.106553853E-1,-4.942503131E-3,5.620008900E-2
4.060000000E0,2.107840061E-1,-5.107490715E-3,1.873551060E-4
4.080000000E0,2.109147375E-1,-6.513289930E-3,-6.234174433E-2
4.100000000E0,2.109378012E-1,-9.060956478E-3,-1.097796909E-1
4.120000000E0,2.107633040E-1,-1.177099428E-2,-1.223152963E-1
4.140000000E0,2.103849349E-1,-1.342127484E-2,-9.374018584E-2
4.160000000E0,2.098532198E-1,-1.333779016E-2,-2.802004966E-2
4.180000000E0,2.092520063E-1,-1.157062875E-2,6.163577654E-2
4.200000000E0,2.086975113E-1,-8.280862796E-3,1.520735791E-1
4.220000000E0,2.083239126E-1,-3.500941289E-3,2.160147131E-1
4.240000000E0,2.082291400E-1,2.508308520E-3,2.355820072E-1
4.260000000E0,2.084500036E-1,8.941951369E-3,2.066241229E-1
4.280000000E0,2.089811393E-1,1.436349550E-2,1.314731749E-1
4.300000000E0,2.097433354E-1,1.715569096E-2,2.272148676E-2
4.320000000E0,2.105512568E-1,1.651745024E-2,-8.994039758E-2
4.340000000E0,2.111877883E-1,1.304960518E-2,-1.710619691E-1
4.360000000E0,2.115276127E-1,8.011782645E-3,-2.016685343E-1
4.380000000E0,2.115566590E-1,2.596122947E-3,-1.825886879E-1
4.400000000E0,2.113244558E-1,-2.243667610E-3,-1.251486213E-1
4.420000000E0,2.109462576E-1,-5.681336166E-3,-5.195152944E-2
4.440000000E0,2.105448575E-1,-7.219141334E-3,1.528543623E-2
4.460000000E0,2.102211852E-1,-6.860487564E-3,6.084997742E-2
4.480000000E0,2.100202155E-1,-5.434820179E-3,7.991403510E-2
4.500000000E0,2.099439027E-1,-3.825041694E-3,7.418748528E-2
4.520000000E0,2.099697602E-1,-2.412059374E-3,4.975219147E-2
4.540000000E0,2.100735997E-1,-1.346357374E-3,1.282900851E-2
4.560000000E0,2.102200799E-1,-8.692364396E-4,-2.863761701E-2
4.580000000E0,2.103433868E-1,-1.361560939E-3,-6.217952342E-2
4.600000000E0,2.103610091E-1,-2.954887775E-3,-7.440158584E-2
4.620000000E0,2.102151160E-1,-5.019644038E-3,-5.739240486E-2
4.640000000E0,2.099384478E-1,-6.415154021E-3,-1.894155312E-2
4.660000000E0,2.096473825E-1,-6.448269074E-3,1.951397699E-2
4.680000000E0,2.094162913E-1,-5.358982601E-3,4.689092980E-2
4.700000000E0,2.092662543E-1,-3.794040242E-3,6.165819859E-2
4.720000000E0,2.092028595E-1,-2.155752535E-3,6.302555653E-2
4.740000000E0,2.092324782E-1,-6.769825460E-4,4.909273783E-2
4.760000000E0,2.093257490E-1,4.591253980E-4,2.543788879E-2
4.780000000E0,2.094391722E-1,1.144505142E-3,7.150172382E-4
4.800000000E0,2.095264259E-1,1.395717369E-3,-1.555737953E-2